category,dates,value
최고기온(℃),1963-08-03,32.8
최저기온(℃),1963-08-03,22.6
최고기온(℃),1963-08-04,31.8
최저기온(℃),1963-08-04,23.0
최고기온(℃),1963-08-05,32.4
최저기온(℃),1963-08-05,23.0
최고기온(℃),1963-08-06,32.9
최저기온(℃),1963-08-06,24.0
최고기온(℃),1963-08-07,33.4
최저기온(℃),1963-08-07,23.8
최고기온(℃),1963-08-08,33.2
최저기온(℃),1963-08-08,24.5
최고기온(℃),1963-08-09,33.7
최저기온(℃),1963-08-09,23.7
최고기온(℃),1963-08-10,31.5
최저기온(℃),1963-08-10,24.3
최고기온(℃),1963-08-11,30.3
최저기온(℃),1963-08-11,22.5
최고기온(℃),1963-08-12,31.5
최저기온(℃),1963-08-12,23.4
최고기온(℃),1963-08-13,27.6
최저기온(℃),1963-08-13,24.7
최고기온(℃),1963-08-14,29.8
최저기온(℃),1963-08-14,22.8
최고기온(℃),1963-08-15,29.1
최저기온(℃),1963-08-15,23.2
최고기온(℃),1963-08-16,26.8
최저기온(℃),1963-08-16,22.8
최고기온(℃),1963-08-17,26.7
최저기온(℃),1963-08-17,22.9
최고기온(℃),1963-08-18,28.8
최저기온(℃),1963-08-18,21.5
최고기온(℃),1963-08-19,30.2
최저기온(℃),1963-08-19,19.5
최고기온(℃),1963-08-20,26.2
최저기온(℃),1963-08-20,20.8
최고기온(℃),1963-08-21,29.2
최저기온(℃),1963-08-21,21.4
최고기온(℃),1963-08-22,24.3
최저기온(℃),1963-08-22,21.0
최고기온(℃),1963-08-23,25.2
최저기온(℃),1963-08-23,21.1
최고기온(℃),1963-08-24,29.6
최저기온(℃),1963-08-24,22.0
최고기온(℃),1963-08-25,30.8
최저기온(℃),1963-08-25,21.6
최고기온(℃),1963-08-26,33.2
최저기온(℃),1963-08-26,21.6
최고기온(℃),1963-08-27,33.0
최저기온(℃),1963-08-27,22.3
최고기온(℃),1963-08-28,28.2
최저기온(℃),1963-08-28,23.5
최고기온(℃),1963-08-29,30.7
최저기온(℃),1963-08-29,22.8
최고기온(℃),1963-08-30,24.7
최저기온(℃),1963-08-30,21.0
최고기온(℃),1963-08-31,31.6
최저기온(℃),1963-08-31,19.2
최고기온(℃),1963-09-01,25.8
최저기온(℃),1963-09-01,20.4
최고기온(℃),1963-09-02,27.8
최저기온(℃),1963-09-02,19.5
최고기온(℃),1963-09-03,27.5
최저기온(℃),1963-09-03,16.8
최고기온(℃),1963-09-04,28.0
최저기온(℃),1963-09-04,18.3
최고기온(℃),1963-09-05,29.4
최저기온(℃),1963-09-05,18.0
최고기온(℃),1963-09-06,28.6
최저기온(℃),1963-09-06,19.6
최고기온(℃),1963-09-07,25.1
최저기온(℃),1963-09-07,18.8
최고기온(℃),1963-09-08,26.8
최저기온(℃),1963-09-08,19.7
